required_skill_match,preferred_skill_match,total_skill_match,matched_required_count,matched_preferred_count,experience_years,project_count,shortlisted
27,29,27.599999999999998,3,1,2,2,0
82,15,61.9,8,1,7,3,1
30,39,32.7,3,2,9,7,0
100,18,75.4,10,1,1,5,0
27,17,24.0,3,1,8,4,0
54,0,37.8,5,0,2,3,0
54,77,60.89999999999999,5,4,4,7,1
52,46,50.199999999999996,5,2,9,0,1
24,65,36.3,2,3,7,8,0
60,91,69.3,6,5,1,0,0
47,93,60.8,5,5,5,7,1
26,37,29.299999999999997,3,2,4,3,0
92,50,79.39999999999999,9,2,9,8,1
91,62,82.3,9,3,8,10,1
31,3,22.599999999999998,3,0,4,4,0
53,0,37.099999999999994,5,0,1,2,0
52,7,38.5,5,0,4,8,1
67,28,55.3,7,1,3,10,0
42,54,45.599999999999994,4,3,10,8,1
81,2,57.3,8,0,6,3,0
56,31,48.49999999999999,6,2,5,10,1
63,9,46.8,6,0,1,3,0
54,73,59.699999999999996,5,4,10,7,1
84,82,83.39999999999999,8,4,10,1,1
66,33,56.099999999999994,7,2,4,8,1
97,96,96.69999999999999,10,5,6,5,1
22,86,41.2,2,4,10,8,1
20,54,30.2,2,3,6,7,0
24,91,44.099999999999994,2,5,4,6,0
33,31,32.4,3,2,8,0,0
46,49,46.89999999999999,5,2,3,2,0
28,6,21.4,3,0,10,10,1
98,92,96.19999999999999,10,5,2,1,0
34,7,25.9,3,0,3,4,0
61,64,61.89999999999999,6,3,4,4,1
96,56,83.99999999999999,10,3,5,4,1
70,66,68.8,7,3,2,3,0
82,87,83.5,8,4,1,4,0
71,86,75.5,7,4,3,2,0
23,58,33.5,2,3,4,0,0
42,71,50.7,4,4,3,4,0
34,53,39.699999999999996,3,3,10,8,1
62,100,73.4,6,5,2,8,1
48,66,53.39999999999999,5,3,7,3,0
55,50,53.5,6,2,9,2,1
32,96,51.199999999999996,3,5,3,0,0
51,91,63.0,5,5,1,1,0
90,7,65.1,9,0,1,7,0
78,33,64.5,8,2,0,0,0
47,34,43.099999999999994,5,2,3,7,0
85,95,88.0,8,5,9,6,1
61,87,68.8,6,4,8,7,1
64,77,67.89999999999999,6,4,10,5,1
81,31,66.0,8,2,6,8,1
76,45,66.69999999999999,8,2,9,2,1
25,15,22.0,2,1,6,9,0
47,67,53.0,5,3,6,3,0
47,36,43.699999999999996,5,2,7,5,1
63,53,59.99999999999999,6,3,0,7,0
49,84,59.5,5,4,9,4,1
81,13,60.599999999999994,8,1,9,2,1
94,94,94.0,9,5,7,5,1
81,54,72.89999999999999,8,3,3,3,1
20,47,28.1,2,2,3,8,0
46,81,56.5,5,4,3,2,0
81,6,58.49999999999999,8,0,5,3,1
96,73,89.1,10,4,6,6,1
22,6,17.2,2,0,5,6,0
89,32,71.89999999999999,9,2,0,3,0
91,22,70.3,9,1,7,5,1
46,84,57.39999999999999,5,4,9,2,1
28,18,24.999999999999996,3,1,10,5,1
81,18,62.099999999999994,8,1,6,1,0
56,35,49.699999999999996,6,2,5,7,1
70,28,57.4,7,1,5,1,0
63,59,61.8,6,3,4,10,1
43,81,54.4,4,4,5,6,0
98,1,68.89999999999999,10,0,8,8,1
78,0,54.599999999999994,8,0,9,0,1
51,46,49.49999999999999,5,2,8,7,1
71,68,70.1,7,3,9,6,1
81,19,62.4,8,1,7,5,1
77,10,56.9,8,0,9,5,1
71,1,49.99999999999999,7,0,8,5,1
31,66,41.5,3,3,9,8,1
58,86,66.39999999999999,6,4,7,1,1
21,11,18.0,2,1,7,0,0
22,19,21.099999999999998,2,1,0,5,0
75,4,53.7,8,0,9,9,1
100,36,80.8,10,2,10,10,1
78,37,65.69999999999999,8,2,4,7,1
21,93,42.599999999999994,2,5,3,2,0
21,8,17.099999999999998,2,0,1,9,0
73,97,80.19999999999999,7,5,7,0,1
20,52,29.6,2,3,2,8,0
38,43,39.5,4,2,3,0,0
21,98,44.099999999999994,2,5,6,2,0
72,85,75.9,7,4,9,7,1
63,23,50.99999999999999,6,1,8,2,0
51,80,59.699999999999996,5,4,1,3,0
89,73,84.19999999999999,9,4,2,7,1
51,29,44.39999999999999,5,1,3,0,0
87,58,78.3,9,3,9,5,1
74,86,77.6,7,4,0,0,0
94,95,94.3,9,5,6,0,1
75,80,76.5,8,4,1,7,1
36,80,49.2,4,4,4,10,0
57,13,43.8,6,1,0,3,0
43,8,32.5,4,0,2,0,0
88,39,73.3,9,2,1,9,1
89,65,81.8,9,3,0,6,1
30,24,28.2,3,1,6,4,1
35,72,46.099999999999994,4,4,4,4,0
92,21,70.69999999999999,9,1,0,0,0
78,3,55.49999999999999,8,0,5,9,1
89,25,69.8,9,1,4,10,1
99,57,86.39999999999999,10,3,2,5,0
22,28,23.799999999999997,2,1,6,8,0
39,97,56.39999999999999,4,5,10,8,1
78,86,80.39999999999999,8,4,9,7,1
55,36,49.3,6,2,8,4,1
38,74,48.8,4,4,8,0,1
86,69,80.89999999999999,9,3,8,8,1
38,17,31.699999999999996,4,1,1,0,0
39,84,52.5,4,4,2,7,0
90,41,75.3,9,2,6,4,1
71,99,79.39999999999999,7,5,4,2,0
52,40,48.4,5,2,1,10,0
59,37,52.4,6,2,2,6,0
58,33,50.49999999999999,6,2,9,6,1
20,16,18.8,2,1,5,8,0
30,36,31.799999999999997,3,2,6,6,0
76,24,60.39999999999999,8,1,8,10,1
69,75,70.8,7,4,0,2,0
42,86,55.2,4,4,10,10,1
50,85,60.5,5,4,6,0,0
61,84,67.89999999999999,6,4,7,7,1
26,26,26.0,3,1,2,2,0
35,56,41.3,4,3,3,7,1
79,30,64.3,8,2,9,7,1
21,5,16.2,2,0,5,4,0
20,90,41.0,2,4,9,0,0
67,39,58.599999999999994,7,2,6,9,1
31,97,50.8,3,5,3,6,0
88,11,64.89999999999999,9,1,7,9,1
56,52,54.8,6,3,4,4,0
51,70,56.699999999999996,5,4,0,7,0
28,9,22.299999999999997,3,0,3,8,0
38,44,39.8,4,2,2,10,0
67,16,51.699999999999996,7,1,8,6,1
99,25,76.8,10,1,7,6,1
22,84,40.599999999999994,2,4,0,0,0
39,91,54.599999999999994,4,5,10,3,0
43,61,48.4,4,3,5,1,0
73,45,64.6,7,2,8,1,1
52,63,55.3,5,3,6,1,0
43,1,30.4,4,0,3,3,0
94,53,81.69999999999999,9,3,0,0,1
91,64,82.89999999999999,9,3,1,3,0
55,50,53.5,6,2,4,1,0
57,52,55.5,6,3,10,4,1
44,35,41.3,4,2,4,2,0
37,25,33.4,4,1,7,7,1
85,28,67.89999999999999,8,1,5,3,0
73,20,57.099999999999994,7,1,7,0,0
54,10,40.8,5,0,1,0,0
99,39,81.0,10,2,2,9,1
80,10,59.0,8,0,5,2,1
60,35,52.5,6,2,9,8,1
52,58,53.8,5,3,2,6,0
87,38,72.3,9,2,5,1,1
52,98,65.8,5,5,5,8,1
33,53,39.0,3,3,1,9,0
40,97,57.099999999999994,4,5,6,1,0
67,54,63.099999999999994,7,3,1,2,0
39,23,34.199999999999996,4,1,5,10,1
27,21,25.2,3,1,0,9,0
26,68,38.599999999999994,3,3,2,1,0
86,55,76.69999999999999,9,3,1,2,0
36,32,34.8,4,2,6,5,1
52,35,46.9,5,2,3,8,0
67,19,52.6,7,1,7,8,1
95,82,91.1,10,4,5,6,1
78,98,84.0,8,5,9,2,1
41,80,52.7,4,4,3,3,0
49,61,52.599999999999994,5,3,4,5,0
57,97,69.0,6,5,8,10,1
70,72,70.6,7,4,6,4,1
73,25,58.599999999999994,7,1,9,1,1
27,65,38.4,3,3,8,5,0
46,72,53.8,5,4,6,2,0
46,72,53.8,5,4,0,7,0
40,39,39.7,4,2,7,1,0
49,16,39.099999999999994,5,1,3,0,0
47,0,32.9,5,0,2,8,0
83,88,84.5,8,4,6,2,1
88,60,79.6,9,3,2,10,1
80,42,68.6,8,2,7,0,0
67,41,59.199999999999996,7,2,5,6,1
38,24,33.8,4,1,4,9,1
23,38,27.5,2,2,3,4,0
54,34,48.0,5,2,7,4,0
83,2,58.699999999999996,8,0,7,0,1
68,100,77.6,7,5,0,8,0
36,43,38.1,4,2,8,6,1
63,50,59.099999999999994,6,2,4,7,1
49,93,62.199999999999996,5,5,3,8,1
65,97,74.6,6,5,5,5,1
25,11,20.8,2,1,5,4,0
56,18,44.599999999999994,6,1,1,5,0
43,100,60.099999999999994,4,5,7,10,1
65,43,58.4,6,2,6,1,0
72,58,67.8,7,3,0,3,0
79,48,69.69999999999999,8,2,4,2,0
82,60,75.4,8,3,5,6,1
51,16,40.49999999999999,5,1,3,8,0
52,73,58.3,5,4,1,4,0
86,56,77.0,9,3,3,5,1
37,54,42.099999999999994,4,3,0,9,0
44,46,44.599999999999994,4,2,6,1,0
73,11,54.39999999999999,7,1,1,2,1
77,61,72.2,8,3,1,2,1
86,79,83.89999999999999,9,4,8,8,1
65,87,71.6,6,4,4,6,1
43,82,54.699999999999996,4,4,1,7,0
51,7,37.8,5,0,10,10,1
66,94,74.39999999999999,7,5,8,9,1
42,20,35.4,4,1,8,10,1
85,80,83.5,8,4,0,8,0
46,86,58.0,5,4,10,5,1
21,100,44.7,2,5,2,3,0
36,79,48.9,4,4,3,0,0
52,69,57.099999999999994,5,3,6,7,1
28,71,40.9,3,4,9,6,1
62,24,50.599999999999994,6,1,3,1,0
67,81,71.2,7,4,1,7,1
58,88,67.0,6,4,6,4,1
61,11,45.99999999999999,6,1,5,6,0
45,14,35.699999999999996,4,1,2,3,0
69,58,65.69999999999999,7,3,5,4,1
44,25,38.3,4,1,10,7,1
43,25,37.599999999999994,4,1,5,0,0
32,46,36.199999999999996,3,2,4,0,0
79,31,64.6,8,2,3,3,0
26,9,20.9,3,0,9,2,0
76,15,57.699999999999996,8,1,0,9,0
55,70,59.5,6,4,9,1,1
64,16,49.599999999999994,6,1,5,2,1
39,22,33.9,4,1,1,10,0
84,25,66.3,8,1,2,10,1
27,84,44.099999999999994,3,4,7,10,0
35,85,50.0,4,4,9,0,0
33,6,24.9,3,0,5,0,0
95,13,70.4,10,1,2,5,0
34,78,47.199999999999996,3,4,6,4,1
85,6,61.29999999999999,8,0,3,7,1
51,8,38.099999999999994,5,0,8,1,1
82,47,71.5,8,2,4,3,1
70,71,70.3,7,4,2,7,1
44,58,48.199999999999996,4,3,1,5,1
77,86,79.7,8,4,10,0,1
82,92,85.0,8,5,1,3,1
81,81,81.0,8,4,2,0,1
41,94,56.9,4,5,1,1,0
77,93,81.8,8,5,3,4,1
77,38,65.3,8,2,1,7,1
68,98,77.0,7,5,9,7,1
71,17,54.8,7,1,8,10,1
61,58,60.099999999999994,6,3,1,2,0
89,16,67.1,9,1,8,10,1
34,13,27.699999999999996,3,1,5,3,0
73,30,60.099999999999994,7,2,0,9,0
79,23,62.199999999999996,8,1,3,10,1
27,98,48.3,3,5,0,5,0
72,59,68.1,7,3,5,10,1
79,44,68.5,8,2,3,10,1
24,97,45.89999999999999,2,5,2,9,0
87,2,61.5,9,0,2,2,1
25,36,28.299999999999997,2,2,8,1,0
66,42,58.8,7,2,5,5,1
74,39,63.5,7,2,8,10,1
59,89,68.0,6,4,4,4,1
71,54,65.89999999999999,7,3,1,9,0
35,86,50.3,4,4,7,4,0
32,38,33.8,3,2,4,9,0
49,14,38.5,5,1,1,4,0
38,3,27.499999999999996,4,0,3,9,0
36,92,52.8,4,5,8,4,0
82,85,82.9,8,4,3,2,0
38,24,33.8,4,1,3,6,0
77,12,57.5,8,1,1,5,0
74,81,76.1,7,4,5,3,1
81,32,66.3,8,2,10,1,1
42,15,33.9,4,1,1,8,0
28,41,31.9,3,2,6,0,0
31,65,41.2,3,3,2,10,0
20,54,30.2,2,3,2,3,0
77,98,83.3,8,5,4,0,0
20,41,26.299999999999997,2,2,2,5,0
53,33,46.99999999999999,5,2,1,3,0
67,29,55.599999999999994,7,1,9,4,1
20,12,17.6,2,1,8,4,0
35,12,28.1,4,1,1,8,0
80,17,61.1,8,1,10,0,1
83,31,67.39999999999999,8,2,1,1,0
82,95,85.9,8,5,7,5,1
88,98,91.0,9,5,8,4,1
41,38,40.1,4,2,6,10,0
86,45,73.69999999999999,9,2,2,6,0
95,28,74.9,10,1,8,2,1
45,61,49.8,4,3,2,2,0
35,92,52.099999999999994,4,5,4,9,1
70,61,67.3,7,3,8,1,1
76,56,70.0,8,3,2,2,0
48,15,38.099999999999994,5,1,6,9,1
97,55,84.39999999999999,10,3,0,0,0
88,9,64.3,9,0,3,4,0
66,29,54.89999999999999,7,1,3,4,1
81,24,63.89999999999999,8,1,6,10,1
88,83,86.5,9,4,7,6,1
95,4,67.7,10,0,0,3,0
35,64,43.7,4,3,4,2,0
67,93,74.8,7,5,6,0,1
58,48,54.99999999999999,6,2,3,7,0
52,2,37.0,5,0,3,2,0
42,44,42.599999999999994,4,2,3,1,0
29,13,24.199999999999996,3,1,5,10,0
88,29,70.3,9,1,6,3,1
53,67,57.19999999999999,5,3,1,2,0
71,17,54.8,7,1,4,0,0
29,61,38.599999999999994,3,3,3,2,0
38,36,37.4,4,2,2,1,0
77,24,61.099999999999994,8,1,6,7,1
20,47,28.1,2,2,10,5,0
88,64,80.8,9,3,5,8,1
23,52,31.699999999999996,2,3,6,7,0
35,78,47.9,4,4,4,9,0
43,72,51.699999999999996,4,4,5,2,0
99,14,73.5,10,1,4,4,1
21,48,29.099999999999998,2,2,6,6,0
51,87,61.8,5,4,1,4,0
43,67,50.199999999999996,4,3,10,7,1
31,11,25.0,3,1,4,4,0
69,58,65.69999999999999,7,3,5,0,1
54,36,48.599999999999994,5,2,5,4,1
52,60,54.4,5,3,4,3,0
52,100,66.4,5,5,9,5,1
80,42,68.6,8,2,6,2,1
70,69,69.7,7,3,9,10,1
62,38,54.8,6,2,7,4,1
31,55,38.2,3,3,6,1,1
86,62,78.8,9,3,4,10,1
84,45,72.3,8,2,0,5,1
52,87,62.5,5,4,4,5,0
59,10,44.3,6,0,9,4,0
93,61,83.39999999999999,9,3,1,5,0
62,76,66.2,6,4,4,10,1
63,97,73.19999999999999,6,5,4,6,1
48,24,40.8,5,1,1,4,0
32,70,43.4,3,4,4,0,0
31,51,37.0,3,3,3,7,0
65,3,46.4,6,0,0,3,0
21,58,32.099999999999994,2,3,2,8,0
54,71,59.099999999999994,5,4,0,9,0
100,19,75.7,10,1,10,5,1
27,92,46.5,3,5,4,0,0
45,62,50.099999999999994,4,3,3,2,0
93,53,81.0,9,3,6,2,1
53,73,58.99999999999999,5,4,4,9,1
26,97,47.3,3,5,9,3,1
87,56,77.7,9,3,3,5,1
77,89,80.6,8,4,1,6,1
94,40,77.8,9,2,3,9,1
48,2,34.199999999999996,5,0,1,3,0
55,5,40.0,6,0,7,5,1
40,4,29.2,4,0,2,10,0
55,4,39.7,6,0,8,0,0
29,53,36.199999999999996,3,3,3,7,0
92,46,78.19999999999999,9,2,5,6,1
43,86,55.9,4,4,9,10,1
83,48,72.5,8,2,4,10,1
68,8,49.99999999999999,7,0,9,8,1
55,98,67.9,6,5,0,2,0
43,19,35.8,4,1,8,1,1
42,60,47.4,4,3,0,0,0
81,34,66.89999999999999,8,2,7,2,1
56,49,53.89999999999999,6,2,8,4,1
31,81,46.0,3,4,8,10,1
74,61,70.1,7,3,0,1,0
32,16,27.2,3,1,1,2,0
42,87,55.5,4,4,0,3,0
49,2,34.9,5,0,9,6,1
36,31,34.5,4,2,1,2,0
81,98,86.1,8,5,9,8,1
32,12,26.0,3,1,7,7,0
78,88,81.0,8,4,4,3,1
38,72,48.199999999999996,4,4,10,0,1
68,67,67.69999999999999,7,3,6,0,1
31,13,25.599999999999998,3,1,1,0,0
80,100,86.0,8,5,7,0,1
38,97,55.699999999999996,4,5,10,7,1
95,10,69.5,10,0,5,2,1
28,55,36.099999999999994,3,3,7,5,1
90,66,82.8,9,3,0,2,0
47,91,60.2,5,5,0,10,0
97,28,76.3,10,1,6,4,1
71,8,52.099999999999994,7,0,7,6,1
35,66,44.3,4,3,2,1,0
88,24,68.8,9,1,4,5,1
31,97,50.8,3,5,0,5,0
44,75,53.3,4,4,6,10,1
71,41,61.99999999999999,7,2,4,2,1
72,8,52.8,7,0,7,5,1
42,78,52.8,4,4,7,9,1
35,39,36.2,4,2,8,9,1
76,24,60.39999999999999,8,1,6,4,1
58,4,41.8,6,0,10,1,1
72,10,53.4,7,0,0,8,0
61,58,60.099999999999994,6,3,2,7,0
77,97,83.0,8,5,7,2,1
58,87,66.69999999999999,6,4,2,7,0
33,78,46.5,3,4,7,8,1
24,37,27.9,2,2,0,2,0
54,71,59.099999999999994,5,4,4,2,0
94,4,67.0,9,0,3,1,0
37,47,40.0,4,2,4,7,0
95,89,93.2,10,4,7,9,1
28,17,24.699999999999996,3,1,9,0,0
93,69,85.8,9,3,3,7,1
77,36,64.7,8,2,10,6,1
36,59,42.9,4,3,3,6,0
26,47,32.3,3,2,2,2,0
65,76,68.3,6,4,6,0,0
32,27,30.5,3,1,2,3,0
59,68,61.699999999999996,6,3,2,8,1
61,76,65.5,6,4,10,4,1
28,80,43.599999999999994,3,4,9,0,0
69,39,60.0,7,2,4,4,1
46,44,45.39999999999999,5,2,4,7,1
85,95,88.0,8,5,5,7,1
24,61,35.099999999999994,2,3,7,4,0
48,92,61.19999999999999,5,5,9,8,1
56,57,56.3,6,3,5,0,1
57,66,59.7,6,3,0,3,0
27,55,35.4,3,3,7,2,0
84,39,70.5,8,2,7,1,1
36,97,54.3,4,5,8,7,1
90,39,74.69999999999999,9,2,8,6,1
64,90,71.8,6,4,1,8,0
23,76,38.9,2,4,1,1,0
55,32,48.1,6,2,2,3,0
89,5,63.8,9,0,0,5,0
50,87,61.099999999999994,5,4,3,10,0
38,18,31.999999999999996,4,1,3,2,0
80,79,79.7,8,4,8,7,1
73,39,62.8,7,2,8,2,0
58,91,67.89999999999999,6,5,8,1,1
93,96,93.89999999999999,9,5,9,2,1
38,58,44.0,4,3,6,10,1
58,58,57.99999999999999,6,3,1,5,0
86,47,74.3,9,2,9,1,1
64,40,56.8,6,2,4,7,1
32,12,26.0,3,1,3,0,0
77,44,67.1,8,2,10,6,1
39,88,53.699999999999996,4,4,7,1,0
91,52,79.3,9,3,1,9,1
80,41,68.3,8,2,5,5,1
58,99,70.3,6,5,4,1,0
20,62,32.599999999999994,2,3,1,1,0
22,26,23.2,2,1,10,9,0
96,37,78.29999999999998,10,2,9,7,1
81,59,74.39999999999999,8,3,0,1,0
82,6,59.199999999999996,8,0,7,6,1
44,4,31.999999999999996,4,0,1,2,0
75,44,65.7,8,2,6,7,1
52,57,53.5,5,3,8,6,0
57,30,48.9,6,2,8,7,1
25,22,24.1,2,1,7,6,0
77,41,66.2,8,2,10,10,1
63,9,46.8,6,0,9,5,1
64,31,54.099999999999994,6,2,8,6,1
51,52,51.3,5,3,1,4,1
64,29,53.5,6,1,5,6,0
80,38,67.4,8,2,3,0,0
66,30,55.199999999999996,7,2,3,0,0
40,81,52.3,4,4,4,8,1
99,99,99.0,10,5,2,4,1
94,1,66.1,9,0,0,4,0
55,77,61.599999999999994,6,4,7,2,0
38,76,49.4,4,4,4,4,0
39,92,54.89999999999999,4,5,2,2,0
76,11,56.49999999999999,8,1,9,8,1
37,38,37.3,4,2,6,8,1
66,65,65.69999999999999,7,3,6,5,1
68,95,76.1,7,5,0,0,0
33,12,26.699999999999996,3,1,8,6,0
34,45,37.3,3,2,1,6,0
50,26,42.8,5,1,4,9,1
20,16,18.8,2,1,4,9,0
73,94,79.3,7,5,7,3,1
22,97,44.5,2,5,7,7,0
35,59,42.2,4,3,6,5,1
76,63,72.1,8,3,6,3,1
94,87,91.89999999999999,9,4,10,3,1
31,34,31.9,3,2,5,1,0
93,69,85.8,9,3,5,1,1
35,82,49.099999999999994,4,4,10,3,1
91,29,72.39999999999999,9,1,8,4,1
95,70,87.5,10,4,5,7,1
43,73,52.0,4,4,1,5,0
47,95,61.4,5,5,1,3,0
27,97,48.0,3,5,4,10,1
55,62,57.099999999999994,6,3,3,6,0
27,27,27.0,3,1,10,7,1
77,59,71.6,8,3,1,1,1
79,78,78.69999999999999,8,4,2,6,1
69,93,76.19999999999999,7,5,6,1,1
47,36,43.699999999999996,5,2,7,1,0
60,92,69.6,6,5,5,7,1
83,21,64.39999999999999,8,1,10,1,1
46,67,52.3,5,3,4,10,1
82,19,63.1,8,1,0,8,0
36,95,53.7,4,5,7,0,0
92,99,94.1,9,5,2,8,1
52,67,56.5,5,3,5,0,0
96,90,94.19999999999999,10,4,2,9,1
48,63,52.49999999999999,5,3,6,9,1
32,16,27.2,3,1,6,1,0
65,11,48.8,6,1,8,5,1
54,21,44.099999999999994,5,1,4,5,0
25,16,22.3,2,1,7,0,0
88,9,64.3,9,0,9,6,1
66,64,65.39999999999999,7,3,9,7,1
44,21,37.099999999999994,4,1,7,1,0
85,89,86.19999999999999,8,4,0,7,0
29,81,44.599999999999994,3,4,4,8,0
75,49,67.2,8,2,2,5,1
49,13,38.199999999999996,5,1,0,4,0
24,63,35.699999999999996,2,3,3,8,0
52,46,50.199999999999996,5,2,7,10,1
84,28,67.2,8,1,2,8,0
37,75,48.4,4,4,9,0,1
68,35,58.099999999999994,7,2,1,10,0
30,98,50.4,3,5,10,2,1
45,51,46.8,4,3,8,8,1
82,75,79.9,8,4,9,10,1
78,6,56.39999999999999,8,0,4,1,0
46,28,40.599999999999994,5,1,6,3,0
68,10,50.599999999999994,7,0,10,3,1
96,32,76.79999999999998,10,2,10,1,1
52,5,37.9,5,0,1,2,0
20,78,37.4,2,4,8,2,0
40,31,37.3,4,2,8,0,1
74,50,66.8,7,2,3,5,0
25,74,39.7,2,4,3,7,0
100,57,87.1,10,3,5,2,1
88,86,87.39999999999999,9,4,9,4,1
24,25,24.299999999999997,2,1,9,0,0
22,97,44.5,2,5,9,9,1
72,45,63.9,7,2,5,6,0
42,97,58.5,4,5,0,9,0
72,28,58.8,7,1,8,0,1
56,3,40.099999999999994,6,0,1,10,0
93,80,89.1,9,4,4,8,1
93,98,94.5,9,5,8,7,1
36,12,28.799999999999997,4,1,3,6,0
97,38,79.3,10,2,10,9,1
92,14,68.6,9,1,2,6,0
20,28,22.4,2,1,6,4,0
70,28,57.4,7,1,5,4,1
64,74,67.0,6,4,7,10,1
96,31,76.49999999999999,10,2,2,4,0
23,1,16.4,2,0,4,0,0
81,46,70.5,8,2,9,7,1
84,77,81.89999999999999,8,4,3,10,1
51,83,60.599999999999994,5,4,3,0,0
53,21,43.39999999999999,5,1,3,3,0
91,74,85.89999999999999,9,4,9,8,1
58,26,48.39999999999999,6,1,7,8,1
45,66,51.3,4,3,5,4,1
53,80,61.099999999999994,5,4,2,3,0
73,55,67.6,7,3,9,2,1
22,91,42.7,2,5,4,2,0
69,92,75.89999999999999,7,5,5,4,1
31,20,27.7,3,1,4,9,0
84,46,72.6,8,2,5,0,0
73,79,74.8,7,4,7,4,1
24,100,46.8,2,5,6,5,0
76,58,70.6,8,3,4,6,0
36,83,50.099999999999994,4,4,9,8,1
66,5,47.699999999999996,7,0,5,2,0
42,18,34.8,4,1,3,1,0
98,56,85.39999999999999,10,3,8,2,1
33,68,43.5,3,3,3,8,0
85,2,60.099999999999994,8,0,0,6,1
94,0,65.8,9,0,6,8,1
70,57,66.1,7,3,6,1,1
57,37,51.0,6,2,3,4,0
83,14,62.3,8,1,2,3,1
57,33,49.8,6,2,7,1,1
69,60,66.3,7,3,4,8,1
49,34,44.5,5,2,9,8,1
98,63,87.5,10,3,6,5,1
70,24,56.2,7,1,3,10,0
82,23,64.3,8,1,3,5,0
71,11,52.99999999999999,7,1,7,7,0
57,17,45.0,6,1,7,5,1
98,14,72.8,10,1,1,0,0
49,79,58.0,5,4,1,3,0
70,26,56.8,7,1,2,6,1
100,71,91.3,10,4,2,1,1
24,59,34.5,2,3,0,8,0
48,45,47.099999999999994,5,2,2,7,0
23,88,42.5,2,4,5,7,0
29,16,25.099999999999998,3,1,7,6,0
75,92,80.1,8,5,9,3,1
36,52,40.8,4,3,5,1,0
93,7,67.19999999999999,9,0,4,2,0
36,78,48.599999999999994,4,4,3,5,0
88,26,69.39999999999999,9,1,2,4,0
53,45,50.599999999999994,5,2,3,7,0
25,49,32.2,2,2,6,5,0
